Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$87K-$142K (Glassdoor est.),"At Farm Credit Mid-America, we believe people are our strongest asset. We are consistently looking to hire individuals from a wide range of experience and capabilities who have a desire to serve. Currently, we have over 1,400 employees across Indiana, Ohio, Kentucky and Tennessee.
BASIC FUNCTION : The Data Scientist focuses on using advanced analytics in support of the Association’s strategic objectives. This position is responsible for performing sophisticated data analytics (encompassing data mining, statistical analysis, predictive analytics, for example), and developing, documenting and supporting the deployment of quantitative models and other analytics tools. Identifies actionable insights from data that measurably improve business outcomes and/or reduce risk. Collects and prepares data for analysis, performs exploratory to advanced predictive and/or modeling analytics, and identifies data relationships (patterns and trends). Provides consultation to business leaders and other stakeholders on how to leverage analytic insights to build actionable strategies. Projects may include but not be limited to: automated credit decisioning, risk rating models, loan performance forecasting and analytics and model validation.
MAJOR RESPONSIBILITIES :
QUANTITATIVE MODELING: Participate in the design, implementation and maintenance of automated credit decisioning and loss forecasting models. For deployed models, develop and execute ongoing model validation processes in accordance with Farm Credit Mid-America Model Risk Management and Model Governance policies and industry best practices.
SPECIALIZED AND ADVANCED ANALYSIS: Applies advanced analytical skills and experience to research complex topics, design analysis methodologies, and apply problem solving skills in performing ad hoc analysis projects.
CREDIT & RISK EXPERTISE: Continually build expertise in agricultural and consumer credit, finance and technology to support being an active partner and risk management resource for the Credit Department and other departments across the Association.
COLLABORATION: Represent the Risk Management department on applicable Association committees, workgroups or project teams. Coordinate with other Farm Credit System (FCS) institutions and FCS workgroups as applicable.
Corporate mission and values: Embraces and represents the mission and values of Farm Credit Mid-America and complies with its conduct, security and confidentiality policies and procedures.
OTHER DUTIES: Performs other duties as assigned.
MINIMUM REQUIREMENTS and GRADING GUIDELINES

Education and Experience
Bachelor’s degree in statistics, mathematics, finance, economics, or related fields. Advanced degree or in analytics field, certifications in analytics, or Charter Financial Analyst designation preferred. Five or more years of progressively-responsible experience in risk management, credit, finance, or data science with at least one year of experience in credit risk modeling or equivalent.

KNOWLEDGE, SKILLS AND ABILITIES :
Knowledge of: Statistical methods, time-series analysis, machine learning, and programming; principles, policies and practices applicable to agricultural and residential lending; critical economic, political and industry issues; loan origination and accounting systems; and business automation and relational databases.
Skills in: Business computer applications; advanced data analysis and validation; data science; computer-based modeling and validation; problem solving; decision making; verbal and written communication; interpersonal skills; tact and diplomacy; mediating and influencing solutions to problems; and relevant software such as SQL, VBA, R and SAS.
Ability to: Be innovative and creative balanced with logic and objectivity; positively influence others; and exercise sound judgment. Be flexible, efficient, disciplined and accurate; work with interruptions; work independently; achieve goals; accept and implement corporate strategies; demonstrate corporate values; relate positively to others; listen; work under stress; overcome objections; and professionally represent Farm Credit Mid-America. Conduct increasingly advanced computer analysis in analyzing and developing solutions to complex issues and risks; aggressively leverage technology; and thoughtfully evaluate, accept and manage balanced business risks.
MENTAL AND PHYSICAL REQUIREMENTS :
This job requires the incumbent to have the ability to…
Engage in telephone and face-to-face conversation to serve customers and give and receive information from customers, staff, vendors, outside consultants and the public.
Use computer. This involves reading the screen and keying/typing information.
Speak and make presentations to individuals or groups on technical subjects related to job.
Travel via auto or commercial transportation to carry out essential responsibilities of the job.
Successfully interact with and represent the organization to customers, staff, officers, board members, vendors, and/or the public at all levels.
Provide sound technical advice to customers and other staff in the subject field(s) related to this position.
Understand and explain various subject matter and consulting concepts, programs, terminology, and methods.
Reason, judge, compare, calculate, evaluate, decide, and critique such information as written material, numerical data, responses to customer needs, and/or other related work activities.
Requirements of the job include the ability to do the work, with or without reasonable accommodations. It is the Association's policy to make reasonable accommodations for individuals with disabilities. Leadership retains the right to add, subtract or change duties of the position at any time.
This document does not create an employment contact, implied or otherwise, other than an “at will” employment relationship.
We are proud to be an EEO/AA employer M/F/D/V.
Here's What We Can Offer You...
Farm Credit Mid-America has an outstanding Total Rewards package, which includes, but is not limited to:
Salary commensurate with experience
15 vacation days, 15 sick days, and 11 paid holidays per year
401(k) plan with outstanding match
Medical, Dental, Vision, STD, LTD, Life/AD&D benefits, etc.
Fitness Incentive Program
Tuition assistance for employee and dependents
IND123
Farm Credit Mid-America is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, veteran status, disability or any other category protected by law.",4.1,"Farm Credit Mid-America
4.1","Louisville, KY",-1,1001 to 5000 Employees,1985,Company - Private,Lending,Finance,$100 to $500 million (USD),-1
"Associate Scientist I/II, Analytical Development",$66K-$133K (Glassdoor est.),"Associate Scientist I/II Analytical Development
Do you have a passion for Science? Would you like to apply your expertise to impact a company that follows the science and turns ideas into life changing medicines? Then AstraZeneca might be the one for you!
At AstraZeneca, we put patients first and strive to meet their unmet needs worldwide. Working here means being entrepreneurial, thinking big and working together to make the impossible a reality. If you are swift to action, confident to lead, willing to collaborate, and curious about what science can do, then you’re our kind of person.
About AstraZeneca in Gaithersburg, MD:
Our Gaithersburg, Maryland facility creates life-changing medicines for people around the world. This campus employs more than 3,500 experts in our field and is only a short drive from Washington, DC. This modern and vibrant scientific campus is the home of R&D and Oncology in the US. Here, we play host to some of the most cutting-edge technology and lab spaces, all designed to inspire collaboration and cross-functional science. We believe employees benefit from being challenged and inspired at work. We are dedicated to creating a culture of inclusion and collaboration.
The Gaithersburg site offers a variety of amenities to help boost productivity and help keep our employees happy and healthy. This includes a fitness center, employee healthcare clinic, electric vehicle charging stations, dry cleaning, full-service cafeteria and copy center. This is where you’ll find newly-designed, activity-based work spaces to suit a variety of working styles while increasing collaboration between teams.
Summary of the group:
Analytical Sciences is a global multifunctional team within AstraZeneca biopharmaceutical development tasked with the development, execution, and transfer of analytical methods intended to characterize and release pharmaceutical products. The residual impurity team within analytical sciences develops methods focusing on ELISA or PCR methods for the detection of impurities and for genome content in biopharmaceutical materials.
Main Duties & Responsibilities:
Development of ELISA or qPCR based methods for detection of a variety of analytes in biopharmaceutical materials. This will include initial POC work through SOP finalization and method transfer.
Design conduct method verifications/qualifications/validations in accordance to the ICH guidelines to enable utilization in a cGMP environment. This will include initial authoring of study plans through finalization of final reports
Routine laboratory testing of samples to support the AstraZeneca drug development pipeline. This will include keeping accurate records of laboratory activities, maintaining and qualification of critical reagents, and scheduling and prioritization of testing.
Participation in a variety of CMC tasks related to assigned projects. This will involve preparation of technical reports and data summaries for presentation.
Collaboration with CMC functions across biopharmaceutical development including upstream (fermentation), downstream (purification), formulation, regulatory, quality, and project management. This will include communication of data and strategies, authoring of IND, IMPD, BLA, etc sections, and resource planning for new pipeline projects.
Ability to adapt to new pharmaceutical modalities by rapid adaption of new technologies and techniques. This will include continuous survey and implementation of analytical techniques and strategies for detection of impurities in CAR-T, In-vivo expressed biologics (mRNA, AAV, DNA), and other virus based pharmaceuticals.
Education & Experience Requirements:
Associate Scientist I: BS and 5+ years of industry experience, or MS and a minimum of 2 years of industry experience.
Associate Scientist II: BS and 8+ years of industry experience, or MS and a minimum of 5 years of industry experience.
Required Skills:
ELISA method development
General Laboratory Skills: Pipetting, BSC usage, LIMS usage
Computer Skills: MS Excel, Powerpoint, Word, Softmax (or similar)
Desired Skills:
qPCR, ddPCR, DNA sequencing (Sanger/NGS)
Homogeneous immunoassay development (AlphLISA, TR-FRET, etc)
Project management experience in the biopharmaceutical industry
Automation, Automated liquid handling (Hamilton Star preferred)
Why AstraZeneca?
At AstraZeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. Delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. Join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. This means we’re opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together. Interested? Come and join our journey.
So, what’s next!
Are you ready to bring new ideas and fresh thinking to the table? Brilliant! We have one seat available and we hope it’s yours.
Where can I find out more?
Check out our landing page for more information on our BPD group https://careers.astrazeneca.com/bpd
Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/
Follow AstraZeneca on Facebook https://www.facebook.com/astrazenecacareers/
Follow AstraZeneca on Instagram https://www.instagram.com/astrazeneca_careers/?hl=en",4.2,"AstraZeneca
4.2","Gaithersburg, MD",-1,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
HCM Data Analyst,$55K-$94K (Glassdoor est.),"Any qualified individual with a disability who is having difficulty in completing an application because of incompatible technology or other disability-related application issues may contact us at the following phone number for assistance: 251-445-1932.

Austal shall abide by the requirements of 41 CFR §§ 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity, or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disability. Austal’s commitment to equal employment opportunity applies at all levels of employment, in all job titles, including the executive level, and to all employment actions, including but not limited to decisions concerning recruitment, hiring, training, and promotion.
REPORTS TO: HCM Coordinator
SUPERVISES: N/A
AUTHORITIES / RESPONSIBILITIES:
The HCM data analyst plays a crucial role in collecting, structuring, analyzing, and reporting on HR processes and data. Supports business with key HR insights reporting (manning levels, hires; retention, turnover), talent metrics (promotion reporting; learning and development tracking; performance management insights), benefits reporting (billing invoices, participation census) as well as ad hoc reporting and data analysis as needed.
Job Description
Utilizes Workday systems and analytical tools to develop, analyze and interpret HR workforce data.
Partners with stakeholders across business units to build and implement reporting and analytic solutions that provide leaders with information necessary to achieve business goals and objectives.
Develop and maintain standardized dashboards and other related metrics reports for organization-wide and HR department evaluation.
Maintains common HR data repository
Monitors effectiveness of reporting and analytics products to ensure optimal value to the business, modifying or operationalizing new metrics and dashboard products as needed.
Creates scheduled reports and respond to ad-hoc queries from senior management and other areas of the company.
Leverages data extraction tools and approaches to perform complex data analysis and formulate new meaningful insights.
Reviews new reporting requests to be sure the request is consistent with HR systems and data strategies.
Creates, maintains, and ensures quality assurance of human resources data sets, reports, and metrics.
Recommends process and system improvements, follow up on recommendations.
Assist in the identification of data integrity problems and recommend solutions.
Other special projects, as needed.
Other duties as assigned;
QUALIFICATIONS / KNOWLEDGE / EXPERIENCE:
Bachelors degree or equivalent.
3-5 Business Analyst experience documenting Business Requirements and conducting data analysis.
Workday experience preferred in one or more modules: HCM, Benefits, Talent/Performance, Security, or Advanced Compensation.
Strong written and verbal communication skills to effectively communicate processes and procedures with managers and employees.
Highly developed ability to provide clear, concise verbal and written explanations for complex concepts so that others see the value add in recommendations and solutions.
Strong computer proficiency and technical aptitude to utilize MSOffice. Expert-level proficiency in Microsoft Excel (PowerPoint a plus).
Strong process orientation, analytical and problem-solving skills
Excellent service orientation skill set, ability to build strong relationships with fellow HR team members.
Must work with a sense of urgency and have the ability to handle confidential information in a professional manner. Can handle demands from multiple customers and has the ability to prioritize.
Ability to work collaboratively with multiple teams/organizations with attention to detail and strong organizational skills.
Flexible and has the capability to deliver results in a fast-paced, and high volume environment.
TOOLS: Not applicable
DIRECTION EXERCISED: Works within established guidelines. Works autonomously and escalates issues to HCM Coordinator as appropriate.
DISCRETION EXERCISED: A degree of creativity and latitude is expected. Relies on experience and judgment to plan and accomplish goals.
LIAISES WITH:
Employees, Department Managers, HR / Benefit Staff, Finance staff and external consultants as assigned.
ADDITIONAL GUIDELINES:
The ability to obtain and maintain a DoD clearance may be required if deemed necessary in the scope of your position responsibilities.
Candidates must meet the following employment eligibility guidelines to be eligible for employment with Austal USA:
18 years or older at time of application
Able to provide proof of US Person status (permanent resident or citizen)
No felony convictions of theft/deception or violent crimes within seven years from disposition date
No felony convictions of drug crimes within three years from disposition date
Willing to submit to a drug screen
Willing to submit to a background check",3.1,"Austal USA
3.1","Mobile, AL",-1,1001 to 5000 Employees,1988,Company - Public,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),-1
"Senior Scientist, In Vivo",-1,"Responsibilities
Independently develop and execute rodent studies.
Collect, analyze, and interpret experimental data.
Synthesize and discuss study results and implications during internal meetings.
Contribute to strategic scientific decisions.
Requirements
PhD in Life Sciences with hands-on experience with rodents.
Experience with rodent models: drug administration, surgery, tissue dissection, embedding, and sectioning.
Experience with immunostaining, including immunohistochemistry (IHC) and immunocytochemistry (ICC).
Demonstrated ability to work collaboratively in a fast-paced environment.
Troubleshooting, organization, and planning skills.
Excellent written and oral communication skills.
Compensation
Competitive salary.
Health care benefits.
Gym membership (in our lab's building complex).
Eligible for stock options.
About Repair Biotechnologies
Repair Biotechnologies is a preclinical biotechnology company focused on developing drugs for cholesterol and aging-related diseases. Our first-in-class Cholesterol Degrading Platform (CDP) technology is aimed at reversing atherosclerosis, familial hypercholesterolemias, and other conditions in which excess or modified cholesterol drives pathology. Current therapies such as statins and PCKS9 inhibitors can successfully reduce serum cholesterol, but are not effective at degrading atherosclerotic plaque.
Position
Sr. Scientist, In Vivo
Job Type: Full-time
Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Education:
Doctorate (Preferred)
Experience:
In Vivo: 3 years (Preferred)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Company's website:
www.repairbiotechnologies.com
Work Remotely:
No",-1,Repair Biotechnologies,"Boston, MA",-1,-1,-1,-1,-1,-1,-1,-1
Process Development Scientist 30085 - GMP & Inspection,-1,"Preferred Qualifications
Advanced scientific analysis and troubleshooting skills.
Knowledge in formulation and raw materials
Advanced work skills on laboratory equipment and instruments such as pipette, micrometer, caliper, microscope and analytical balance.
Create cosmetic defects on vials and syringes
Seed particle in solution on vials and syringes
Knowledge in Sample Management
Knowledge in aseptic techniques
Basic knowledge on Inspection and Packaging equipment
Knowledge o previously certified on manual visual inspection techniques
Ability to develop new defective conditions on primary containers
Be able to work in fast environment and prioritize multiple tasks
Ability to be flexible and handle change.
Strong knowledge of cGMP’s.
Fully bilingual (English/Spanish)
Service oriented
Education:
Doctorate degree in Engineering /Chemistry / Biology / Microbiology or Master’s degree in Engineering /Chemistry / Biology / Microbiology and 3 years of directly related experience or Bachelor’s degree in Engineering /Chemistry / Biology / Microbiology and 5 years of directly related experience
Description:
To conceive, design, implement and execute specific scientific experiments, which contribute to the successful completion of goals and/or projects under general guidance of supervisor. Under general guidance of supervisor,
Conceives and designs, executes or evaluates, and interprets experimental strategies. Provides input to new processes to generate robust and reliable data. Ensures that studies are conducted in compliance with the respective protocol and applicable guidelines and regulations. Designs, monitors or conducts experimental strategies with general guidance from supervisor. Provides data analysis and interpretation, and assesses impact of the data on the project. Keeps current in field of scientific expertise and areas relevant to their function. Monitors field of expertise, including literature and technology development, and communicates relevant observations. May introduce advanced scientific methods. Develops and implements new and novel protocols to address specific issues. May represent the department on project teams under supervision of a senior scientific staff member. May initiate productive collaborations within and outside of the department or company. Advises or assists others in experimental design and/or interpretation/diagnosis of data and implementing innovative remedies. Independently authors scientific reports, summary documents, complex regulatory documents, invention disclosure submissions and/or patents. Participates in external scientific community. May assume lead role in department-wide support efforts such as safety, recruiting and committees. May develop supervisory and mentoring skills. Develops and follows timelines for completing project team work.
Skills
Advanced scientific analysis and troubleshooting skills.
Advanced laboratory work skills. Ability to motivate and/or supervise the activities of others.
Must be well organized, have multi-task project experience, and be able to communicate and work well with other departments.
Must have demonstrated skills and competencies in the following areas: Verbal communication
Job Type: Full-time
Salary: $0.00 per hour
Education:
Bachelor's (Preferred)
Experience:
Packaging equipment: 5 years (Preferred)
Vials and Syringes: 5 years (Preferred)
GMP: 5 years (Preferred)",-1,CIS International LLC,"Juncos, PR",-1,-1,-1,-1,-1,-1,-1,-1
Sr. Data Scientist,$92K-$149K (Glassdoor est.),"Sr. Data Scientist

Why YOU want this position
Since our founding as a groundbreaking provider of oil & gas data, we have evolved our solutions to cover oil & gas analytics, trading & risk, and business automation for customers across the energy industry. Enverus represents this growth, while bringing us closer together as one team. Enverus delivers business-critical insights to the global energy industry through a state-of-the-art SaaS platform built on industry-leading data and energy analytics. Our solutions deliver value across the entire energy value chain, empowering customers to be more agile, efficient, and competitive. The range of energy industry participants we serve includes exploration and production (E&P) companies and related businesses such as oilfield services, midstream, capital markets, power generators and utilities, energy traders, and downstream commercial & industrial energy consumers.
We are currently seeking a highly driven Sr. Data Scientist to join our team in Conshohocken, PA, Austin, TX or Denver, Co. to support the efforts of the Data Science team by producing accurate data science models.

Performance Objectives:
Build data products to solve problems in the oil and gas industries
Lead implementation of products of various size and complexity needing cross-team support
Conduct independent research
Work with a cross-functional team of Software Engineers, Data Engineers, Product Owners, and other Data Scientists to ship products and features
Participate in client-facing conversations to explain methodologies
Mentor and teach junior team members
Strong python development skills
Extensive experience in NumPy and Pandas with additional experience in one or more of scikit-learn, PyTorch, or Tensorflow
Expert in Machine Learning, Deep Learning, or Bayesian Statistics
Comfortable using Linux, git, and command line tools
Experience working with Docker or Kubernetes
Ability to write neat and well-documented production ready code

Competitive Candidate Profile:
Advanced degree in Computer Science, Data Science, Statistics, Mathematics, Operations Research, or other quantitative field with 2+ years’ experience or Bachelor’s degree with 5+ years of related experience
Prior experience developing and maintaining data products
Experience with Airflow or Kubeflow
Experience with Spark or PySpark
Experience with Bayesian Optimization or Gaussian Processes
Prior software engineering experience",3.8,"Enverus
3.8","Conshohocken, PA",-1,1001 to 5000 Employees,1999,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),-1
FCC Data Scientist,$73K-$121K (Glassdoor est.),"Summary: The FCC Analytics group is responsible for the development and management of the BSA/AML, Fraud and Quality Control analytics functions. The group tunes the financial crimes models dedicated to the detection of suspicious activity and fraudulent transactions as well as those designed to risk rate customers and screen against OFAC designated lists. Additionally, the group manages application related implementations, maintenance and enhancements and the development of reporting and visual analytics used for investigations, KPI tracking, quarterly reporting and annual risk assessments.

The primary purpose of this position is to assist with the management of the Fraud and BSA/AML models related to transaction monitoring, customer risk rating, OFAC fuzzy logic filtering, and transactional fraud mitigation strategies. The individual that fulfills this position must understand the general dynamics of model risk management as set forth by OCC guidelines. Furthermore, the candidate must also have experience with SQL, quantitative stat based analytics (such as standard deviation, percentile distributions, k-means, clustering, etc.), model forecasting and reporting analytics (including visual and flowchart modeling) amongst other skill sets around management of information systems. Requires basic commercial awareness.
ESSENTIAL DUTIES AND RESPONSIBILITIES: While other duties and special projects may be assigned, the primary duties and responsibilities include the following:
Conduct assessments of models and provide reports detailing the current state of data feeds, rule output at current settings, and alert outputs at alternative settings.
Utilize Oracle SQL to the extent of simulating model output.
Identify potential logic deficiencies in model outputs through cross validation of external analyses
Assist with the identification, evaluation, and development of controls to mitigate FCC risk and operational impacts.
Research, develop, prototype and test new models and their related inputs.
Assist with annual FCC model tuning and optimization efforts in line with regulatory expectations to meet false-positive and detection rate criteria; performs quantitative analysis on the alert output of each tuning cycle (able to prepare reports detailing forecast results).
Perform model management reviews for the ongoing assessment of model suitability against emerging risk.
Assist with data integrity and validation testing on FCC projects including software implementations, operational enhancements related to efficiency gains, and other special projects as needed including the coordination of software updates in collaboration with the Bank's IT Department and or Project Management Office.
Support manager with resolving of open issues and/or defects involving applications used by the FCC Department including the identification of issues, tracking, escalation, testing, and resolution.
Maintain business definitions in the form of a data dictionary for all department managed models.
Prepare reports in a manner that is clear and comprehensible to FCC supervisors/managers, internal auditors and regulatory examiners.
Communicate production issues with key stakeholders such as business lines, FCC management team, and the IT Department.
Create documentation and provide technical training to business users as needed (this includes training post model tuning deployments and on new enhancements).
If necessary, effectively communicate with the business lines in order to obtain the necessary information and documentation to complete model improvements.
Handle a large workload with the ability to complete the tasks correctly and efficiently within the designated timeframes exercising discretion in setting priorities.
Communicate effectively to different audiences, including both business and technical parties.
Possess a general understanding of banking with respect to BSA/AML and Fraud risks.
Perform any other assignments as directed by manager.
EDUCATION and/or EXPERIENCE
Bachelor's degree in Computer Science, Management Information Systems or related field.
At least 3 years working with data modeling, software implementation, enhanced reporting analytics or related experience preferably with a financial institution.
Advanced experience with data mining/analytical tools such as R and Python
Strong knowledge of Structured Query Language (SQL), Oracle programming language, data mining techniques, and Business Intelligence Tools
Strong database skills, including working with advanced data sets, pivot tables, advanced database and statistical functions and methods
Experience visualizing data using tools such as Tableau
Experience with developing and implementing Fraud and BSA/AML risk strategies in decision engines, detection tools and onboarding platforms.",2.9,"BankUnited
2.9","Miami Lakes, FL",-1,1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
Supply Chain Data Analyst,$65K-$79K (Employer est.),"Supply Chain Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Analyze company operations, including performance and productivity data, error rates and their root causes.
Independently interpret results using a variety of techniques, ranging from simple data analysis to complex data mining.
Analyze reports to identify distribution operational issues.
Conduct ad hoc analyses on various departments and branches.
Design, develop, implement and maintain business solutions to improve performance.

Minimum Requirements
Bachelor's degree.
2 years experience.
Working knowledge of SQL, data extraction and analysis a must.
Experience in a distribution, supply chain or warehouse environment a strong plus.
Excellent proficiency in Microsoft Office, especially Excel.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-SN1
#CORP",3.6,"Uline
3.6","Pleasant Prairie, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1
Lead Data Scientist,$93K-$157K (Glassdoor est.),"Waystar modernizes the healthcare revenue cycle through innovative, cloud-based technology. We provide the highest-rated client experience to more than 450,000 providers, 22,000 healthcare organizations and 750 health systems and hospitals around the country. Together, our technology, data and client support streamline workflows and improve financials for our clients, so that they can focus on their patients. We are deeply committed to living out our organizational values: honesty; passion; curiosity; fanatical focus; best work, always; making it happen; and joyful, optimistic and fun.

What is the purpose of this position?

The Waystar Lead Data Scientist role’s purpose is to be able to technically lead 1 or more other Data Scientists to specify, manage, and ultimately drive to completion a data science or predictive modeling task. The purpose of this role is to perform day-to-day Technical Management of data science work.

Looking for some details?
Works closely with Application Engineering, Product Management, and Operational teams in designing, experimenting-with, and implementing machine learning and analytical systems applied to design information and user behavior
Works closely with Application Engineering teams to gather and process data, as well as in surfacing various analytically-based features in core products
Works on groundbreaking new applications of machine learning and analytic technology to Healthcare, producing quantitative, justifiable results to guide feature planning
Translates real-world Healthcare problems to mathematical frameworks
Works with Product Management, Marketing, and Sales as needed to promote sales and to incorporate market and customer feedback
Data exploration, hypothesis creation (from business and product goals), testing algorithms, scaling to large data-sets and validating results will be common tasks for this role
Understands, organizes, and communicates root causes of problems and successes
Solves complex technical problems with little oversight
Coaches Data Scientists into best practices
Reviews the work of team members
Plans and initiates multi-month projects
Do you fit our team?
2+ years of Data Scientist experience
Complete familiarity with various statistical and machine learning techniques including: classification, regression, dimension reduction, clustering, and various multivariate methods
Complete familiarity with empirical approaches to estimate performance of machine learning models including: hold-out sets, cross-validation, leave-one-out testing
Understanding of orders of algorithms and how they scale
Demonstrated competency in R/Python predictive modeling
Demonstrated competency in RDBMS (e.g. SQL Server)
Ability to code in 1+ general purpose programming language (C#, Java, etc.)
Must be a quick-learner with the ability to multi-task in a fast-paced environment
Outstanding presentation abilities and the ability to communicate with all levels of the Business
Comfortable working in newly-forming, ambiguous areas where learning and adaptability are key skills
Outstanding communication and interpersonal skills
Must possess strong analytical, problem-solving, and writing skills
Proficient in Microsoft Office applications
Detail-oriented
Preferred Skills:
Master of Science degree or higher in the fields of Computer Science, Statistics, or Mathematics is preferred
An aptitude for medical informatics is preferred
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",3.9,"Waystar
3.9","Denver, CO",-1,501 to 1000 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
High Performance Computing (HPC) Computer Scientist,$62K-$105K (Glassdoor est.),"Travel Required: Less than 10%
Public Trust: None
Requisition Type: Regular
At GDIT, people are our differentiator. As a Senior HPC (High Performance Computing) Computational Scientist you will be trusted to support our HPCMP PET program with locations across the USA.
We are a part of the Department of Defense (DoD) High Performance Computing Modernization Program (HPCMP) User Productivity Enhancement and Training (PET) initiative. PET enhances the capability and productivity of the HPCMP community through training, collaboration, tool and software development, technology transfer, and outreach.
We currently have a position in Aberdeen, Maryland or Dayton, OH for a Senior Computational Scientist.
You will join teams of computational experts representing a critical mass of expertise in key areas of support for the HPCMP. These teams provide deep technical expertise in HPC that can be applied to a diverse range of scientific disciplines.
Duties may include the following;
Software Refactoring to Optimize Performance for Emerging Architectures
Emerging Hardware (HW) Exploration: Supporting the evaluation of emerging hardware for potential deployment
Technical Skills should include the following:
Experience with one or more prominent simulation codes.
Expertise with multiple common scientific computing programming languages and programming models.
Expertise with legacy scientific computing programming languages (e.g., C, C++, Fortran)
Experience with Linux on large scale systems.
Extensive knowledge of HPC and parallel programming techniques (e.g. MPI, OpenMP), in multiple physical science domains.
Masters of Science or higher preferred
8+ years of experience with science or engineering programs
Experience with HPC preferred
Must be a US citizen and be eligible for a DoD clearance
Active DoD Secret clearance preferred
#GDITPRIORITY
We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.
GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.7,"General Dynamics Information Technology
3.7","Aberdeen Proving Ground, MD",-1,10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),-1
